"","symbol","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"146","CG10932",1,0.890439738096315,0.751040277441651,0.659611940013675
"147","CG10936",1,0.773766270935105,0.951046370002107,0.803199292254567
"148","CG10939",1,0.925259391303824,0.64579877450198,0.61697515422136
"149","CG10960",0.0129632696139449,0.10151136693531,0.633551437235818,1
"150","CG11034",0.0312386143975346,0.110123579729728,0.691367902022081,1
"151","CG11050",0.385808978889705,0.502523462551218,0.783679980222663,1
"152","CG11069",0.599332806262208,0.754561218715059,0.875906689774415,1
"153","CG11073",1,0.701577739795531,0.430641479924561,0.484841849374453
"154","CG11095",1,0.782214796714624,0.611326345887642,0.508429611708218
"155","CG11125",1,0.741709645675182,0.603787383907868,0.541410118592264
"156","CG11170",0.585599827247867,0.600548094940332,0.948227991783748,1
"157","CG11200",1,0.776951699934811,0.662464501726213,0.579510823828323
"158","CG11248",0.669448234785128,0.753425328152281,0.910208056821744,1
"159","CG11249",0.153782090322926,0.335078659293926,0.652032721497762,1
"160","CG11275",0.23735958792465,0.695929046522359,0.939818856798227,1
"161","CG11353",1,0.766258890999775,0.218669397717813,0.143542233889111
"162","CG11357",0.470319578936183,0.924191548468403,1,0.873073986967578
"163","CG11370",0.54585258408841,0.603675531793749,1,0.811317461035258
"164","CG11403",1,0.949064782436587,0.922930012995429,0.764213764231148
"165","CG11409",0.277171565615994,0.454253972087269,0.74291216246524,1
"166","CG1143",0.364513130589391,0.412362919536122,0.345921490841864,1
"167","CG11593",0.778468724357088,0.840599043001126,0.919658474040138,1
"168","CG11656",0.167053938669624,0.434736314329897,0.704319814528504,1
"169","CG11686",0.293963937314161,0.486032862311451,0.773057697059566,1
"170","CG11825",1,0.768852989082059,0.492120691840112,0.463120914320491
"171","CG11835",0.0663419606959098,0.173956183001623,0.678389279486949,1
"172","CG11873",0.645128231167887,0.724740117128376,0.852130811740166,1
"173","CG11899",0.371066861347534,0.603300281411227,0.822521894209231,1
"174","CG11905",0.0520661830766381,0.171978657089457,0.757983815941416,1
"175","CG11970",1,0.882942159145489,0.802739016483824,0.770948389446835
"176","CG12009",0.611292630388213,0.662662281305349,0.907724367191563,1
"177","CG12065",1,0.814946391169904,0.587457845659726,0.715142147475991
"178","CG12078",0.0542180507218755,0.477295151000042,1,0.914225738993888
"179","CG12164",1,0.133121085691146,0.047772620168419,0.0606518004059415
"180","CG12179",1,0.855579521093529,0.767066160081748,0.707202302593112
"181","CG12182",1,0.633358849159462,0.50618856163152,0.470312309638004
"182","CG12206",1,0.93777335130354,0.771088575551638,0.67126825260345
"183","CG12268",1,0.441542883821959,0.0946397601994704,0.0651039768243122
"184","CG12288",1,0.74141210686354,0.510063784334628,0.332085840132031
"185","CG12402",1,0.214029162755036,0.0697232984447145,0.0297447516656943
"186","CG12576",1,0.931119807755131,0.862025170895717,0.830662817836346
"187","CG12702",1,0.908471227774946,0.83669782188399,0.668540604969536
"188","CG1273",0.0173226405222508,0.112468630558501,0.774545334464979,1
"189","CG12769",1,0.340144663149321,0.268484375435061,0.329347952433869
"190","CG12814",1,0.762269136052689,0.446695975277402,0.481243522189986
"191","CG12868",1,0.794355656215164,0.448131396921712,0.549620165787743
"192","CG12880",0.620710721164129,0.713691292035031,0.800389179547036,1
"193","CG12964",1,0.759003662737203,0.332331773460348,0.390592493404963
"194","CG1299",0.673558833508383,0.816025879647731,0.995840851207626,1
"195","CG13024",0.602704281297261,0.679250127480166,0.807940436633634,1
"196","CG13064",0.0569881455441587,0.243185121938969,0.83686234440254,1
"197","CG13082",0.12487312967088,0.204949138249247,0.608057951868531,1
"198","CG13126",1,0.943528820460842,0.734672160172515,0.679908129682449
"199","CG13204",1,0.892647250679499,0.59070235299089,0.474445144919185
"200","CG13272",0.326104578460923,0.388955353434261,0.860054696161712,1
"201","CG13300",0.579468745616523,0.7010331898998,0.800946130503402,1
"202","CG13367",0.72012975005574,0.77900322390022,0.893691538713957,1
"203","CG13506",1,0.857605996025249,0.685214906932101,0.665146607277514
"204","CG13531",0.736773306834075,0.806406612224446,1,0.98129611245644
"205","CG13575",0.123198080841596,0.263227268011202,0.463480829760458,1
"206","CG13622",0.0369784233385004,0.260179287138598,0.772886143715654,1
"207","CG13631",1,0.364392119456054,0.0953760725416992,0.0843858098809205
"208","CG13722",0.0242778121751984,0.113761980352816,0.564740849247666,1
"209","CG13784",0.667050534280178,0.72263700524858,0.883905738610274,1
"210","CG13813",0,0.0129481237328158,0.589345919489599,1
"211","CG13827",1,0.87206510359278,0.40219163920283,0.238199037457152
"212","CG13857",1,0.574909443547521,0.361904084573582,0.318736399580994
"213","CG13868",1,0.790538871997702,0.455792275014844,0.440407323524228
"214","CG13894",0.377680128153355,0.551613849623296,0.872772180630608,1
"215","CG13954",1,0.775152686688112,0.439375904437153,0.321625214777262
"216","CG14132",0.385341055613141,0.682410666847389,0.824358223542347,1
"217","CG14223",0.751489106557656,0.873659055554266,0.893440219280424,1
"218","CG14257",0.119279307072835,0.358892429542317,0.599504601972782,1
"219","CG14301",0.327409597003293,0.437616281316696,0.820622315343742,1
"220","CG14304",0.406294564639996,0.877609297099093,0.832983527674381,1
"221","CG1440",0.969756680340561,1,0.817832198164933,0.761305596584073
"222","CG14408",1,0.944052472043518,0.6483279349917,0.58037266838351
"223","CG14434",1,0.937503605531746,0.845096158638273,0.775283418964618
"224","CG14439",0.345847804235558,0.5715820966954,0.854692721375471,1
"225","CG14440",1,0.907677021441489,0.804520300413846,0.757103786592468
"226","CG14441",0.740715910977381,0.762404884799425,0.854390158830529,1
"227","CG14598",0.0121106261344484,0.326269131303619,0.797041358133101,1
"228","CG14712",0.680324816853674,0.793344749028354,0.977022922697788,1
"229","CG14767",1,0.915751890255106,0.807139726961764,0.758324508334894
"230","CG14814",1,0.888531747042682,0.790327654504378,0.700168743500091
"231","CG15046",0.371892593071758,0.543292197305587,0.792817086591135,1
