"","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"Np",0.0713565822872493,0.245174352485202,0.674306940860755,1
"nrv1",0.665210881851523,0.79511416128664,0.92083434303084,1
"nub",0.630395031993978,0.801601192040938,0.943982080616967,1
"numb",0.60647911621588,0.640722042490274,0.846825909320495,1
"nvy",0.513353162777966,0.764669285925913,0.883242110509093,1
"nw",0.855327638979664,0.946906576007748,0.981543746579428,1
"Oatp30B",0.34894019361207,0.523522389147003,0.941501670817382,1
"Obp56a",0.44140871104467,0.590849293969997,0.864549695865654,1
"Ocho",0.657535670467984,0.808500327619376,0.82182174845526,1
"odd",0.532744494792438,0.615908946292232,0.933108297928653,1
